iter	RMSE
0	844.6778922
1	772.1684713
2	711.7287026
3	652.7326981
4	603.8041408
5	554.5791305
6	510.509418
7	469.7220113
8	435.4423249
9	404.9065966
10	375.18888
11	348.9474468
12	325.2927652
13	303.1224238
14	283.5359584
15	267.2081238
16	251.1322782
17	237.0331595
18	223.6339708
19	211.2107166
20	199.8253569
21	190.405688
22	181.0054643
23	172.2853065
24	164.4106135
25	157.2189907
26	150.9944097
27	145.2958537
28	140.0178634
29	135.133041
30	131.0698958
31	126.6027542
32	123.2438696
33	119.5681363
34	116.5593048
35	113.6044608
36	110.7703912
37	108.2580065
38	105.8453031
39	103.6389109
40	101.5442294
41	99.59028509
42	97.95963372
43	96.15397295
44	94.45203045
45	92.91187326
46	91.41817116
47	90.21372753
48	89.16066617
49	87.96363377
50	86.78786568
51	85.53895948
52	84.08678612
53	82.84803153
54	81.47751632
55	80.37346525
56	79.49254083
57	78.67619883
58	77.79767213
59	77.08412302
60	76.22184217
61	75.39286251
62	74.68807098
63	73.82376698
64	73.24729775
65	72.68263724
66	72.17655193
67	71.88379599
68	71.222678
69	70.54162092
70	69.84515303
71	69.19261349
72	68.72826641
73	67.76773864
74	67.21154225
75	66.27355137
76	65.54379642
77	64.84921504
78	64.33702561
79	63.89096803
80	63.15029925
81	62.56695987
82	61.97665818
83	61.15582455
84	60.5099359
85	59.68146176
86	58.98758798
87	58.59627549
88	58.19274779
89	57.73539518
90	57.41522008
91	57.07136354
92	56.21687193
93	55.82136412
94	55.44151651
95	55.03906239
96	54.04860261
97	53.62344406
98	53.19084394
99	52.70591579
