iter	Passed	Remaining
0	6	641
1	13	643
2	18	607
3	24	593
4	31	590
5	36	575
6	42	559
7	47	551
8	49	500
9	55	495
10	60	493
11	67	494
12	72	488
13	78	485
14	84	479
15	90	476
16	92	453
17	98	448
18	104	445
19	109	439
20	115	435
21	121	431
22	127	425
23	133	422
24	139	417
25	144	412
26	151	409
27	158	407
28	164	402
29	170	397
30	176	392
31	182	388
32	189	384
33	196	381
34	202	376
35	209	372
36	215	367
37	221	361
38	227	356
39	234	352
40	240	346
41	246	339
42	251	333
43	257	327
44	262	321
45	269	316
46	274	309
47	280	303
48	286	297
49	292	292
50	298	287
51	304	281
52	310	275
53	316	269
54	322	263
55	328	258
56	334	252
57	339	245
58	345	240
59	351	234
60	356	228
61	362	222
62	368	216
63	374	210
64	379	204
65	385	198
66	391	193
67	393	185
68	399	179
69	405	173
70	412	168
71	417	162
72	424	156
73	429	151
74	436	145
75	442	139
76	448	133
77	454	128
78	459	122
79	465	116
80	470	110
81	476	104
82	482	98
83	487	92
84	493	87
85	499	81
86	505	75
87	511	69
88	517	64
89	524	58
90	530	52
91	536	46
92	542	40
93	549	35
94	554	29
95	560	23
96	566	17
97	572	11
98	578	5
99	584	0
